Time,LC_Z,LC_Y,LC_X,LT_Z,LT_Y,LT_X,RT_Z,RT_Y,RT_X,C_Z,C_Y,C_X,RC_Z,RC_Y,RC_X,S_Z,S_Y,S_X,Class
,63,78,46,70,109,116,65,91,63,57,74,79,65,91,63,64,81,70,1
,62,78,73,79,96,97,66,81,71,56,72,75,65,69,67,63,85,67,1
,62,87,70,72,89,98,61,80,63,55,72,82,55,78,76,63,84,65,1
,64,79,68,67,86,99,61,83,69,55,72,78,59,78,73,65,87,70,1
,62,83,67,66,87,101,62,82,73,55,72,78,59,76,67,66,87,70,1
,63,82,68,67,87,99,63,87,75,55,72,78,59,77,66,67,88,69,1
,64,87,68,67,89,103,68,103,65,55,72,79,60,79,80,67,85,65,1
,66,83,67,67,85,103,74,87,76,55,72,83,60,78,71,67,88,60,1
,64,82,64,66,91,103,65,83,70,56,74,79,60,78,76,67,84,69,1
,64,85,63,69,88,97,63,92,55,56,72,75,60,83,71,64,83,67,1
,63,73,70,65,76,106,67,88,69,57,72,79,62,80,67,63,85,65,1
,59,82,78,60,82,98,66,86,70,57,72,78,61,83,68,65,87,70,1
,62,78,72,63,81,95,64,86,68,55,72,75,62,81,67,66,87,70,1
,60,72,58,63,87,93,64,86,70,57,72,78,64,86,70,66,87,69,1
,56,71,65,69,98,99,67,94,62,56,74,79,63,83,69,65,85,65,1
,56,75,71,75,101,100,68,85,67,56,72,79,62,80,63,65,88,60,1
,61,89,48,73,88,118,64,89,62,56,74,83,63,87,64,65,81,67,1
,68,88,71,67,80,96,66,91,72,56,72,74,64,81,69,62,83,75,1
,67,83,67,62,81,97,67,79,63,55,72,83,62,79,70,63,85,63,1
,65,87,67,64,89,102,60,84,69,55,72,79,61,78,73,64,85,70,1
,66,83,67,67,83,98,63,83,71,55,72,78,60,79,68,65,87,68,1
,64,84,67,64,86,99,63,87,72,55,72,79,60,78,63,65,88,67,1
,65,85,67,66,87,100,65,88,69,55,72,79,60,83,71,66,87,68,1
,65,84,68,67,86,99,68,99,67,55,72,79,64,80,73,66,88,67,1
,65,82,68,65,85,99,71,87,73,57,74,79,63,90,67,67,89,68,1
,63,81,63,65,84,104,68,96,55,57,74,79,67,85,52,66,84,65,1
,63,82,65,65,87,102,68,76,75,55,72,79,64,79,66,64,85,70,1
,63,83,68,67,94,103,61,89,68,56,72,78,62,82,68,64,83,68,1
,63,78,69,68,78,103,66,88,68,57,72,79,63,81,68,63,85,67,1
,62,81,73,61,82,97,64,87,70,57,72,75,63,83,68,64,87,69,1
,62,78,70,63,83,96,66,87,67,57,72,78,63,83,68,65,87,70,1
,60,77,64,66,93,96,65,88,66,56,72,78,65,88,72,65,87,67,1
,58,72,70,71,94,101,67,90,70,57,72,79,67,85,68,65,87,67,1
,60,94,53,71,92,98,67,90,68,57,74,83,66,89,63,65,82,60,1
,69,80,64,70,91,103,68,94,65,57,72,78,67,86,70,63,84,75,1
,62,80,65,67,86,104,68,80,65,55,72,79,64,78,71,63,83,63,1
,64,88,67,65,88,103,60,82,72,55,72,79,60,76,73,62,82,69,1
,67,85,67,67,82,99,59,73,73,56,72,79,57,72,70,62,83,67,1
,65,85,67,64,88,99,56,76,70,53,72,79,56,67,68,62,79,65,1
,65,85,67,67,84,100,59,87,76,53,72,79,55,80,67,62,83,68,1
,65,84,67,65,87,100,67,92,61,55,72,79,62,79,67,63,83,70,1
,65,88,66,67,89,103,68,85,69,56,72,79,63,80,68,63,83,66,1
,66,81,65,67,88,98,64,87,69,57,72,79,62,80,67,64,86,66,1
,61,76,71,67,86,97,64,85,70,57,74,78,61,79,68,65,88,68,1
,60,81,67,67,89,99,63,87,68,56,74,78,61,82,67,66,88,68,1
,63,83,68,68,89,99,64,86,68,57,74,78,61,81,68,66,87,69,1
,64,84,68,69,91,98,64,86,69,57,74,78,63,82,68,65,88,68,1
,64,83,69,71,93,98,65,89,67,57,74,78,63,84,69,66,88,67,1
,63,80,70,71,93,99,67,91,70,57,74,79,64,84,67,66,87,65,1
,63,81,74,70,92,101,68,90,64,56,72,79,65,88,62,65,88,65,1
,63,79,66,68,83,103,68,90,64,56,72,79,63,73,70,65,83,69,1
,63,84,67,65,88,100,66,84,64,55,72,79,57,75,70,64,86,69,1
,64,83,68,67,88,99,64,85,68,55,72,78,59,78,72,66,87,68,1
,64,83,68,67,88,100,63,82,70,55,72,79,60,79,68,66,88,68,1
,64,81,67,66,86,99,62,86,73,57,74,79,61,79,64,67,88,69,1
,63,83,68,65,86,100,67,93,71,57,74,79,61,78,75,67,88,67,1
,64,81,65,66,88,103,70,93,72,55,72,82,67,110,41,68,92,63,1
,64,83,65,68,91,106,73,108,57,56,72,83,74,78,75,67,81,67,1
,65,86,63,68,89,99,76,92,57,56,72,75,62,84,67,63,86,69,1
,64,77,67,66,74,104,68,88,70,57,72,79,63,83,66,64,85,66,1
,61,80,79,59,81,96,67,86,72,56,74,78,63,82,68,65,89,70,1
,62,78,73,62,81,95,64,86,67,56,74,78,63,82,68,67,88,70,1
,60,75,57,64,89,93,65,88,69,57,74,75,66,92,71,67,87,68,1
