Time,LC_Z,LC_Y,LC_X,LT_Z,LT_Y,LT_X,RT_Z,RT_Y,RT_X,C_Z,C_Y,C_X,RC_Z,RC_Y,RC_X,S_Z,S_Y,S_X,Class
,66,74,63,68,79,105,57,85,71,56,72,79,56,78,69,64,85,67,1
,59,78,73,62,85,101,62,87,68,56,74,79,60,80,67,65,86,70,1
,60,73,76,64,84,96,63,86,70,55,73,75,61,83,67,66,87,70,1
,57,75,71,65,86,95,63,87,67,56,74,78,62,84,68,67,88,68,1
,59,76,64,66,88,92,64,89,67,59,74,79,65,87,69,67,88,67,1
,62,88,89,73,118,112,64,86,68,59,74,79,65,81,67,67,88,64,1
,65,79,47,80,76,113,63,91,60,58,74,83,65,94,57,66,81,70,1
,63,84,74,59,74,83,65,89,63,59,72,75,69,74,67,63,83,65,1
,65,84,67,60,87,95,63,83,67,55,73,79,56,71,77,63,83,68,1
,66,90,68,65,86,99,59,81,73,59,74,78,54,72,78,63,83,68,1
,68,87,67,65,86,99,57,74,75,55,73,78,54,65,75,63,83,67,1
,67,88,67,66,90,102,54,73,65,55,72,79,54,79,70,63,83,70,1
,67,87,67,68,87,99,54,81,56,55,73,82,59,75,75,65,86,67,1
,65,77,64,66,87,103,60,79,69,56,74,79,59,78,68,67,87,67,1
,60,80,67,67,86,103,58,82,71,59,74,75,61,88,69,66,88,70,1
,63,84,67,67,93,96,62,89,66,58,74,79,64,80,69,67,88,68,1
,65,87,67,70,96,97,64,83,70,59,74,75,62,81,68,68,89,68,1
,66,87,70,72,94,96,61,86,69,58,74,75,63,83,69,69,89,68,1
,67,87,70,72,95,97,61,82,68,59,74,78,61,81,64,68,91,64,1
,65,84,68,72,96,103,60,88,67,58,74,79,62,85,66,69,89,66,1
,68,102,28,71,84,113,63,89,61,58,74,82,67,93,69,68,85,71,1
,73,88,68,64,82,86,65,90,65,56,72,79,66,75,62,65,83,67,1
,68,89,67,64,86,98,64,83,63,55,73,79,56,71,69,64,85,69,1
,68,88,67,66,88,99,61,84,67,55,73,78,55,71,76,66,87,69,1
,67,84,67,67,86,98,61,82,75,55,73,78,55,70,78,67,88,70,1
,63,80,66,65,84,99,60,83,78,59,74,78,56,72,65,67,89,68,1
,63,87,68,65,92,100,67,115,55,59,74,79,62,93,90,68,88,64,1
,67,85,65,70,87,102,80,96,79,59,78,91,66,76,95,67,82,60,1
