Time,LC_Z,LC_Y,LC_X,LT_Z,LT_Y,LT_X,RT_Z,RT_Y,RT_X,C_Z,C_Y,C_X,RC_Z,RC_Y,RC_X,S_Z,S_Y,S_X,class
,99,81,67,99,89,104,59,92,74,90,92,99,80,72,74,52,86,70,9
,64,84,68,73,92,100,90,96,84,80,91,100,46,83,92,92,85,71,9
,49,83,68,59,88,96,104,107,111,67,88,101,89,88,96,84,84,70,9
,99,80,68,103,85,97,63,87,93,81,91,102,95,83,89,50,83,67,9
,84,82,67,84,89,99,67,92,86,87,91,102,65,76,81,63,87,66,9
,51,85,67,62,93,100,105,93,68,72,91,100,49,67,68,103,86,69,9
,68,83,68,75,91,100,85,92,62,68,92,99,71,69,58,90,84,69,9
,104,86,68,105,92,99,59,91,59,89,91,100,83,80,34,51,80,66,9
,83,84,39,86,95,116,79,96,60,84,91,99,60,76,79,63,83,72,9
,44,70,67,57,90,118,109,102,62,64,91,105,67,78,66,99,84,69,9
,74,65,73,83,93,98,83,89,68,70,94,98,90,80,65,84,87,67,9
,94,74,71,107,95,96,57,92,68,89,92,97,92,81,75,52,83,70,9
,88,81,96,96,92,81,67,96,71,87,89,99,71,82,71,58,85,70,9
,51,87,96,64,87,75,92,84,76,78,91,103,51,76,67,100,83,64,9
,57,82,83,64,91,81,92,90,71,64,92,101,73,81,70,95,85,65,9
,95,75,81,92,96,91,71,94,67,72,91,100,97,84,68,68,84,66,9
,96,63,68,105,96,106,64,94,71,90,92,99,87,83,68,52,84,67,9
,60,67,59,83,91,110,84,95,71,83,92,96,51,86,71,68,82,71,9
,39,86,63,58,102,119,100,89,65,65,94,98,68,76,53,97,78,69,9
,83,84,71,88,93,97,78,85,44,71,92,103,94,71,69,72,87,63,9
,103,76,64,103,87,102,63,96,72,90,94,97,71,70,60,55,86,70,9
,47,79,68,61,85,103,103,88,72,73,91,100,47,74,75,104,88,72,9
,72,88,68,77,92,96,80,89,88,67,88,101,85,91,92,83,82,68,9
,102,84,68,106,90,97,56,83,94,85,88,101,89,85,96,53,82,68,9
,71,81,67,75,87,99,76,84,91,81,90,102,57,74,94,73,84,68,9
,49,83,68,54,89,99,99,86,77,71,90,101,49,69,79,104,87,65,9
,74,84,68,78,93,100,74,88,58,69,92,99,76,64,60,87,87,69,9
,102,89,68,108,95,101,57,86,57,90,92,96,80,64,55,51,80,73,9
,91,82,51,92,92,107,71,87,53,86,91,103,51,83,57,62,74,66,9
,44,71,63,55,85,122,101,92,80,63,86,108,62,72,72,96,88,62,9
,68,68,65,78,98,105,76,87,65,68,93,99,93,73,68,84,86,65,9
,95,71,71,110,96,98,56,92,64,89,91,99,86,80,68,53,85,69,9
,77,79,91,88,95,86,71,85,70,86,91,100,61,80,72,68,86,72,9
,50,89,95,55,86,76,99,81,75,75,90,97,49,78,72,104,83,67,9
,62,83,83,65,88,81,88,86,71,64,91,103,76,80,68,94,85,67,9
