Time,LC_Z,LC_Y,LC_X,LT_Z,LT_Y,LT_X,RT_Z,RT_Y,RT_X,C_Z,C_Y,C_X,RC_Z,RC_Y,RC_X,S_Z,S_Y,S_X,class
,64,81,75,60,83,95,66,92,63,58,74,75,66,86,71,63,85,64,1
,64,79,66,63,88,95,67,84,70,59,74,75,68,83,67,67,89,70,1
,63,76,62,70,94,103,66,86,70,58,74,75,66,86,68,70,86,69,1
,58,72,72,72,98,96,65,88,66,58,74,79,67,88,69,66,87,66,1
,62,101,43,71,88,108,66,89,64,59,74,79,64,80,60,66,83,62,1
,72,75,77,67,85,91,65,82,68,59,74,79,63,86,65,66,87,72,1
,61,83,67,67,88,101,63,86,61,59,74,79,64,76,72,67,83,64,1
,64,86,68,66,86,102,63,87,67,59,74,78,60,80,73,65,84,71,1
,68,88,67,66,86,97,65,85,71,59,74,75,60,77,73,66,84,68,1
,66,86,67,66,88,99,63,80,74,59,74,79,59,76,69,65,84,67,1
,66,84,67,67,87,99,61,80,71,59,74,78,58,74,67,65,83,68,1
,65,86,67,66,87,99,62,92,64,55,73,79,57,74,64,65,83,65,1
,65,82,67,65,86,99,97,228,227,59,74,79,57,74,67,64,84,69,1
,65,92,57,66,89,106,132,230,229,59,74,75,59,82,70,65,86,65,1
,67,78,70,65,79,96,132,228,228,59,74,75,66,96,68,66,86,70,1
,60,77,70,62,87,99,134,229,230,58,74,79,68,82,67,66,86,67,1
,61,81,71,67,90,98,133,229,228,58,74,75,64,84,68,66,87,69,1
,62,79,69,68,91,96,134,229,230,59,74,78,62,87,69,67,85,64,1
,60,77,79,70,99,90,134,229,228,59,74,79,65,83,65,66,86,70,1
,62,84,67,71,78,97,135,229,229,59,74,79,64,82,65,66,83,69,1
,64,84,67,62,92,98,134,228,229,59,74,79,62,78,66,64,86,66,1
,66,84,68,68,86,97,84,87,65,59,74,75,62,84,72,67,87,70,1
,64,84,68,65,83,97,66,87,68,59,75,75,62,80,71,67,87,69,1
,66,88,67,64,89,102,66,83,71,63,78,75,62,80,68,67,87,68,1
,67,84,67,67,84,99,64,85,74,60,75,75,61,80,67,68,88,69,1
,65,84,67,64,82,98,66,92,70,59,74,75,60,77,74,67,89,65,1
,64,83,65,63,86,101,69,94,63,59,78,83,60,82,66,67,84,62,1
,63,81,62,65,85,106,67,78,78,63,75,83,61,75,67,64,84,67,1
,63,86,62,66,91,103,62,92,67,58,74,75,61,85,68,65,83,71,1
,65,79,68,67,75,102,67,88,69,56,74,78,64,81,68,64,84,67,1
,62,83,76,60,86,100,64,87,67,59,74,75,63,82,67,65,86,70,1
,64,80,73,63,80,94,64,86,68,56,74,75,62,83,67,66,87,69,1
,63,81,66,62,86,90,63,84,70,58,74,75,64,83,67,66,87,68,1
,61,74,62,68,102,105,63,87,66,58,74,79,63,87,67,67,87,63,1
,59,75,71,75,92,98,66,91,62,59,75,83,65,86,61,67,85,61,1
,56,63,57,70,90,105,68,88,60,58,74,79,66,81,67,64,83,70,1
,54,80,70,67,84,102,62,70,56,59,74,75,60,75,71,64,85,65,1
,62,85,68,62,85,100,54,84,67,59,74,75,58,78,77,63,87,73,1
,64,83,67,63,88,99,62,81,72,59,74,75,59,76,75,63,87,69,1
,64,85,67,66,87,100,60,80,76,59,74,75,59,71,60,67,87,69,1
,67,86,67,67,87,100,64,93,63,59,74,75,57,75,76,68,88,67,1
,66,83,65,67,84,101,71,95,67,59,78,79,60,91,64,69,90,65,1
,63,83,60,64,87,106,70,90,62,63,78,83,64,71,61,66,82,63,1
,64,88,60,66,91,103,67,84,67,63,74,78,58,83,65,64,84,73,1
,66,77,69,66,73,104,64,86,69,56,74,79,62,83,68,65,86,67,1
,61,83,80,58,83,98,64,86,67,59,74,75,63,83,66,66,87,71,1
,64,82,76,63,80,93,64,84,67,59,74,75,64,84,67,66,87,68,1
,64,88,66,62,86,91,64,85,68,58,74,75,63,83,68,67,88,70,1
,67,79,58,70,100,108,64,87,68,58,74,78,65,85,66,69,86,64,1
,61,73,70,76,94,99,67,87,64,59,78,79,64,85,60,67,87,62,1
,55,61,56,72,99,103,67,94,58,59,74,79,65,87,63,65,83,68,1
,52,78,71,71,83,104,67,78,55,59,74,75,66,74,67,65,82,65,1
,63,88,68,64,84,99,61,83,66,59,74,78,56,78,75,65,87,72,1
,66,85,67,65,89,99,63,83,70,59,74,75,58,77,74,66,86,68,1
,64,85,67,67,84,100,62,80,76,59,74,75,57,76,64,64,88,68,1
,65,86,67,62,86,99,62,92,71,59,75,75,56,75,65,65,87,69,1
,67,83,66,66,86,101,71,99,60,63,78,79,59,78,72,70,89,63,1
,65,82,63,66,83,104,75,94,58,63,79,79,60,73,64,68,83,62,1
,64,88,56,65,92,103,68,72,76,63,75,78,58,83,66,64,82,71,1
,55,80,65,67,80,107,58,87,70,58,74,75,63,84,67,63,84,67,1
,63,84,75,61,84,100,64,87,67,58,74,78,65,82,67,65,86,71,1
,64,81,76,63,81,96,64,86,68,59,74,75,63,86,68,66,86,69,1
,63,81,71,62,83,92,64,86,67,58,74,75,63,84,68,66,88,69,1
,62,77,55,65,93,97,64,84,67,58,74,75,65,83,69,66,86,67,1
,62,83,77,72,107,108,63,85,65,60,78,79,67,82,66,68,92,64,1
,69,104,30,78,86,103,65,88,60,63,79,79,65,83,62,69,81,64,1
,73,87,71,64,81,98,64,82,68,63,74,75,64,81,70,63,83,73,1
,64,79,65,63,86,99,60,72,61,59,74,78,60,79,71,64,84,64,1
,64,87,67,65,86,101,56,82,70,59,74,75,61,77,76,66,88,72,1
,67,86,67,66,87,97,61,82,72,59,74,75,58,75,73,67,87,67,1
,66,86,67,67,87,99,62,83,78,59,74,75,58,72,58,66,88,70,1
,65,86,67,64,89,100,63,94,64,59,74,75,57,79,78,65,86,67,1
,65,84,67,65,84,99,71,94,68,63,75,78,63,99,63,67,90,65,1
,65,83,62,66,84,104,71,99,59,63,79,83,73,78,63,70,84,64,1
,64,84,60,66,88,102,70,75,75,60,75,75,62,83,66,65,85,72,1
,63,78,71,67,83,106,58,88,69,58,74,75,64,86,70,65,83,66,1
,62,82,74,62,79,100,66,88,66,59,74,79,63,83,67,65,85,68,1
,63,80,75,61,83,96,66,86,68,59,74,75,65,86,68,66,86,68,1
,62,81,71,63,86,96,65,89,66,58,74,78,65,86,68,67,85,68,1
,63,77,67,66,88,93,66,88,67,59,74,75,65,83,71,67,86,67,1
,62,83,60,67,88,106,65,84,70,58,74,78,63,82,68,65,83,68,1
,63,80,67,68,90,97,63,84,69,59,74,79,63,84,67,64,82,66,1
,62,81,55,71,96,111,63,81,67,56,74,79,64,75,65,64,82,70,1
,62,81,69,72,83,102,61,75,65,59,74,79,58,75,71,63,82,67,1
,62,80,67,63,86,100,57,75,73,59,74,75,59,75,73,64,84,68,1
,62,83,67,65,84,99,58,80,70,59,74,75,59,78,70,65,84,69,1
,64,83,67,65,86,99,62,86,69,59,74,75,62,82,70,66,85,68,1
,64,84,68,66,89,100,66,91,70,59,74,78,65,92,53,66,83,67,1
,63,78,60,67,88,103,67,86,78,59,74,79,67,76,72,65,86,67,1
,63,90,62,69,97,104,67,95,67,59,74,79,60,82,67,66,82,67,1
,67,82,63,68,77,104,68,88,70,58,74,79,61,81,70,63,84,67,1
,67,96,70,61,86,102,65,88,71,59,74,74,62,85,68,65,86,69,1
,71,86,70,64,81,96,65,87,67,58,74,75,64,84,67,66,86,68,1
,65,81,67,63,86,94,65,85,68,58,74,75,65,81,67,67,87,68,1
,63,79,64,68,99,103,63,83,69,58,74,75,62,82,68,67,88,66,1
,62,79,71,73,96,101,63,86,65,58,75,82,63,82,63,67,84,61,1
,60,73,69,72,90,95,64,84,62,60,75,83,64,85,63,65,85,67,1
,59,81,68,68,83,105,65,87,64,59,74,75,64,77,62,65,81,69,1
,62,84,67,63,86,99,64,81,67,59,74,79,60,79,76,64,85,69,1
,64,83,68,65,88,99,62,85,70,59,74,75,61,77,75,65,86,71,1
,64,84,67,67,84,98,63,81,75,59,74,75,60,76,71,66,88,68,1
,64,84,67,64,85,99,62,84,77,59,75,75,60,75,61,67,88,69,1
,65,84,67,65,87,101,64,94,67,59,78,79,58,79,81,67,87,64,1
,64,83,65,66,84,103,70,88,70,63,79,83,58,62,83,67,86,60,1
,64,86,58,65,92,107,62,64,80,63,74,79,52,80,71,65,85,71,1
,63,81,67,67,87,107,55,88,70,59,74,75,61,82,68,63,81,63,1
,63,81,71,64,79,103,64,87,68,58,74,79,62,82,67,62,85,71,1
,63,83,78,61,80,97,65,87,71,59,74,75,64,82,66,65,86,69,1
,65,81,73,62,79,91,64,83,67,58,74,75,64,82,68,67,88,69,1
