Time,LC_Z,LC_Y,LC_X,LT_Z,LT_Y,LT_X,RT_Z,RT_Y,RT_X,C_Z,C_Y,C_X,RC_Z,RC_Y,RC_X,S_Z,S_Y,S_X,Class
,56,69,71,67,95,104,66,84,68,55,73,79,62,84,70,63,84,67,1
,56,78,65,70,83,101,63,86,68,56,72,78,62,76,68,64,84,68,1
,62,81,67,66,89,99,64,78,73,56,74,79,57,75,73,67,87,69,1
,63,84,68,69,90,98,60,82,71,56,74,78,59,79,71,67,85,68,1
,64,83,68,70,92,100,62,84,70,59,74,79,60,80,68,67,87,68,1
,63,84,68,69,93,99,63,86,70,59,74,78,63,80,70,66,87,68,1
,64,82,71,71,95,99,65,88,69,59,74,78,64,86,67,66,88,68,1
,63,83,60,70,88,103,68,100,63,58,74,79,67,84,58,65,83,67,1
,63,78,66,67,87,95,70,79,57,59,74,83,62,73,73,64,88,60,1
,62,83,68,65,89,99,61,83,64,59,74,75,55,77,70,67,87,73,1
,64,87,69,67,89,97,60,78,72,59,72,74,57,75,79,66,88,70,1
,66,84,68,67,88,99,58,80,78,56,74,79,56,67,58,67,89,71,1
,64,83,66,66,84,100,64,96,72,59,74,79,54,78,75,67,91,64,1
,64,85,64,65,88,104,72,103,69,59,74,83,61,98,13,69,93,57,1
,67,93,57,67,90,106,76,105,38,59,74,82,70,89,70,67,79,72,1
,66,71,60,66,78,104,75,88,76,56,66,77,64,83,66,62,87,67,1
,58,82,76,61,81,100,67,87,68,56,78,75,60,82,68,65,85,71,1
,62,77,77,62,83,94,66,85,67,59,74,75,63,83,71,65,86,70,1
,60,77,71,63,83,92,63,86,68,56,74,75,63,83,68,66,86,68,1
,59,76,67,65,92,102,62,86,69,56,74,75,62,83,72,65,88,67,1
,60,82,77,71,100,105,64,84,67,56,74,79,64,81,65,67,88,66,1
,62,76,67,74,93,95,64,88,68,59,74,79,64,83,62,67,88,59,1
,61,86,73,71,94,103,66,100,64,59,74,79,63,84,60,66,83,70,1
,65,81,67,69,79,99,70,78,63,57,72,79,60,66,72,63,86,66,1
,63,84,67,62,88,100,60,83,64,55,73,78,54,78,77,64,86,72,1
,65,86,67,67,87,99,60,80,74,59,74,75,59,76,77,65,88,67,1
,66,86,69,65,86,97,60,80,78,57,74,75,59,68,54,67,88,70,1
,65,82,67,65,83,100,65,96,69,59,74,79,54,74,73,67,89,65,1
,64,85,65,64,87,103,73,100,70,59,74,82,60,94,63,67,92,65,1
,67,91,55,66,89,108,76,105,59,58,74,79,65,68,51,67,82,67,1
,66,75,58,65,76,111,75,82,72,55,67,82,54,76,62,63,86,65,1
,51,83,72,59,79,102,62,83,71,56,74,75,61,80,68,64,84,72,1
,62,76,80,61,83,93,64,88,70,56,74,75,64,83,71,66,88,70,1
,61,78,74,64,82,90,65,83,72,59,74,78,64,82,69,69,89,70,1
,61,72,62,67,95,100,63,85,70,59,74,75,63,82,68,70,88,66,1
,59,83,81,74,104,108,63,84,65,58,74,82,63,80,67,70,92,64,1
,63,82,77,76,92,113,63,89,62,58,74,79,64,94,57,70,87,67,1
,62,78,69,67,78,96,65,85,63,59,74,78,67,73,60,66,80,67,1
,61,82,70,63,89,95,63,83,61,55,73,79,57,80,74,63,86,69,1
,63,84,68,67,86,97,62,82,72,57,74,75,60,74,78,65,88,71,1
,64,86,68,65,86,100,59,77,79,55,73,78,56,71,71,67,90,70,1
,65,83,67,64,84,98,62,95,73,59,74,78,55,69,72,68,88,67,1
,64,87,68,65,90,102,73,111,58,59,74,83,56,74,78,67,92,63,1
,67,83,62,67,85,106,78,89,60,59,78,83,56,72,79,67,81,66,1
,64,80,61,67,94,100,65,72,85,60,73,78,60,76,73,63,83,66,1
,58,64,68,68,77,104,56,87,71,56,74,79,61,84,69,64,86,69,1
,55,81,79,62,88,95,65,87,68,59,74,74,64,83,69,65,87,71,1
,62,78,73,65,81,92,66,91,68,56,74,78,64,83,69,67,89,68,1
,59,71,53,63,87,91,67,86,69,59,74,75,62,80,68,67,88,68,1
,58,81,73,71,109,110,65,86,65,58,74,82,62,82,67,67,90,64,1
,64,91,61,79,95,95,66,91,67,58,74,87,64,95,53,66,79,64,1
,66,66,54,71,85,99,67,94,67,59,74,78,66,70,64,61,83,67,1
,56,79,64,64,85,102,67,81,61,59,74,82,55,76,73,63,84,67,1
,63,84,68,64,87,97,61,79,71,56,74,75,60,74,79,64,88,70,1
,65,85,68,66,88,99,59,78,77,55,73,75,55,66,72,66,87,70,1
,65,85,67,67,89,100,57,82,75,59,74,75,50,57,68,66,86,69,1
,65,84,68,68,91,99,66,103,61,56,74,79,49,71,81,66,88,68,1
,63,77,66,67,82,107,72,85,54,59,78,83,56,67,76,66,83,65,1
,60,75,71,63,84,103,65,86,72,61,75,79,57,84,62,63,83,69,1
,59,76,73,64,83,102,64,87,68,56,72,78,62,81,70,63,84,68,1
,60,79,74,64,82,97,66,86,69,56,74,79,64,82,69,63,85,67,1
,60,79,71,63,84,95,64,87,70,56,74,78,63,82,68,64,84,68,1
,60,79,68,65,89,99,65,83,70,56,74,79,62,79,70,64,83,70,1
,60,76,69,68,92,97,63,85,68,57,72,82,60,82,68,63,85,65,1
,61,86,64,69,88,104,63,84,70,56,72,79,64,82,68,63,84,69,1
,64,79,74,67,89,95,64,93,68,55,72,79,63,83,65,63,84,68,1
,62,86,66,69,92,104,67,83,64,55,73,79,60,70,70,64,86,65,1
,64,80,68,68,86,97,62,82,69,55,73,79,55,75,80,65,87,67,1
,63,83,67,65,88,100,60,83,66,57,74,79,57,75,72,65,86,68,1
,63,81,68,67,86,99,62,86,72,59,74,79,58,76,68,65,88,68,1
,63,82,69,65,84,99,65,89,72,57,74,78,57,75,68,66,88,68,1
,64,83,67,64,86,100,68,91,72,57,74,78,60,76,68,66,87,68,1
,64,83,68,65,87,100,70,96,70,57,74,79,59,77,76,66,88,67,1
,63,82,67,65,84,99,71,94,71,59,74,79,62,85,62,67,87,62,1
,63,83,65,65,86,100,69,94,69,59,74,79,64,85,72,66,88,68,1
,63,83,66,66,90,99,68,88,70,59,72,75,63,80,70,65,84,68,1
,61,75,66,66,80,104,64,85,70,57,72,82,63,79,68,63,87,65,1
