Time,LC_Z,LC_Y,LC_X,LT_Z,LT_Y,LT_X,RT_Z,RT_Y,RT_X,C_Z,C_Y,C_X,RC_Z,RC_Y,RC_X,S_Z,S_Y,S_X,Class
,62,73,77,68,73,103,69,84,62,55,72,82,62,71,55,67,86,59,1
,60,83,65,58,80,104,62,78,63,57,74,79,56,81,75,67,88,68,1
,63,76,71,63,90,95,60,83,68,57,74,78,63,84,71,70,89,67,1
,60,81,68,67,88,98,61,87,74,57,74,78,63,79,65,71,89,69,1
,63,77,70,67,89,99,64,92,76,57,74,78,59,73,67,70,88,68,1
,62,85,68,67,86,99,68,100,66,57,74,79,57,73,75,70,91,67,1
,64,79,71,66,87,102,71,84,71,57,74,86,57,80,76,70,88,59,1
,61,79,65,67,93,106,63,93,65,57,74,79,62,86,72,67,85,70,1
,62,86,60,69,88,100,66,88,66,55,72,75,64,84,66,67,84,67,1
,66,82,71,67,77,108,65,84,67,56,72,79,64,81,67,67,87,68,1
,64,84,74,61,84,100,63,88,67,57,74,79,62,81,69,68,89,70,1
,64,81,72,63,82,96,65,88,70,57,74,78,62,82,69,70,89,70,1
,62,76,67,63,84,92,64,86,70,57,74,78,62,78,68,70,89,68,1
,60,73,62,68,98,102,64,87,68,57,74,79,60,78,68,70,89,68,1
,59,76,87,76,100,100,64,86,64,57,74,79,59,76,62,71,93,58,1
,62,83,39,74,87,92,65,93,64,57,74,83,61,88,56,73,90,67,1
,63,76,67,67,81,104,68,85,64,57,72,78,64,70,76,71,84,69,1
,62,81,71,63,86,98,62,78,60,55,72,78,57,83,78,69,87,68,1
,64,81,67,66,88,99,59,83,71,55,72,78,62,80,74,70,89,72,1
,64,84,68,67,85,100,60,80,74,57,74,78,59,78,68,71,88,68,1
,65,81,70,65,89,101,59,84,78,57,74,78,56,64,58,71,89,69,1
,63,86,70,68,91,100,67,114,63,57,74,79,51,71,83,71,91,64,1
,64,78,66,68,85,108,78,87,59,57,74,83,55,67,79,70,87,63,1
,59,71,53,66,96,101,62,73,74,56,72,78,55,79,69,70,84,72,1
,59,88,71,69,71,109,57,88,72,55,72,79,60,82,69,67,86,64,1
,68,92,77,59,86,99,63,86,69,56,74,78,61,77,64,68,90,72,1
,68,77,64,63,73,96,63,88,68,57,74,78,60,79,69,70,89,69,1
,59,70,67,59,85,92,64,85,71,59,74,78,60,77,71,70,89,69,1
,56,71,67,68,97,103,64,89,64,57,74,79,60,77,65,72,92,65,1
,57,75,86,75,98,100,66,92,66,57,74,83,59,80,59,71,87,57,1
,60,81,43,72,87,94,67,94,65,56,74,79,62,92,54,68,88,68,1
,63,79,66,65,83,101,66,76,61,55,72,79,64,64,67,69,85,66,1
,62,83,69,64,87,99,58,79,68,55,72,78,53,80,81,67,88,71,1
,64,82,70,66,89,97,59,80,73,57,74,75,63,79,71,70,88,70,1
,64,84,68,67,86,100,59,79,76,57,74,78,59,75,65,70,90,70,1
,64,80,74,65,87,100,61,92,73,57,74,78,56,64,70,71,90,67,1
,63,83,68,67,91,100,70,104,67,57,74,79,51,70,67,71,92,67,1
,63,79,63,68,87,108,75,100,62,59,74,79,54,75,75,70,89,69,1
,61,74,50,68,96,107,70,79,63,59,74,79,57,76,69,70,84,68,1
,61,86,70,68,70,112,59,88,69,56,72,79,60,80,68,67,87,65,1
,66,82,79,58,84,96,63,86,70,56,74,78,61,81,69,70,90,73,1
,63,80,76,63,75,92,63,89,69,57,74,75,61,81,69,71,88,68,1
,62,80,66,60,88,94,66,89,69,56,74,78,62,82,70,71,91,71,1
,60,68,72,70,99,103,66,87,68,56,74,79,62,82,67,72,90,66,1
,55,71,82,75,95,91,65,89,66,59,74,86,60,81,55,71,86,53,1
,59,86,63,71,87,89,66,88,68,57,74,78,62,85,60,68,88,75,1
,63,71,65,66,83,103,65,87,59,57,74,79,63,83,65,67,82,63,1
,60,87,67,66,94,102,62,81,71,57,74,79,60,76,74,66,86,71,1
,67,89,64,71,88,99,58,72,75,57,72,79,57,71,71,67,83,68,1
,67,83,71,67,90,103,53,70,71,55,72,78,52,57,64,65,82,68,1
,63,82,71,68,89,98,53,80,68,55,72,78,43,55,84,65,81,67,1
,63,76,65,67,81,107,59,74,52,55,72,83,49,76,71,66,89,67,1
,62,84,67,63,80,106,55,82,67,57,74,79,58,76,68,69,87,69,1
,63,74,65,62,78,99,60,83,73,57,74,75,58,82,71,68,89,68,1
,58,74,71,62,88,97,63,86,68,57,74,79,62,79,68,69,87,68,1
,59,78,73,68,96,98,63,84,70,56,74,78,60,80,69,70,89,68,1
,60,81,75,72,96,96,63,92,69,57,74,79,61,80,69,69,88,65,1
,64,88,69,72,94,103,69,94,66,57,72,79,62,82,67,69,87,71,1
,67,79,73,70,86,99,68,88,56,55,72,83,62,80,59,67,84,63,1
,61,73,68,66,86,99,63,83,59,55,72,82,61,86,69,67,87,67,1
,60,80,68,66,91,99,61,82,71,55,72,78,62,73,71,68,87,70,1
,65,91,67,69,89,99,60,82,76,55,72,78,56,74,65,67,88,68,1
,67,83,74,67,90,99,61,87,73,55,72,78,54,69,65,66,89,69,1
,65,83,71,70,92,102,68,101,69,57,74,79,55,74,76,71,89,67,1
,64,79,67,70,86,103,72,92,73,57,74,79,64,118,30,71,94,64,1
,61,72,58,68,95,108,63,74,78,57,74,83,78,67,67,73,87,69,1
,62,97,63,71,89,108,56,83,63,56,72,79,56,76,67,68,86,62,1
,67,66,76,64,72,100,62,86,70,57,74,79,58,79,67,68,88,73,1
,57,89,76,58,84,92,63,88,71,57,74,75,60,79,69,70,88,70,1
,64,74,70,63,81,91,64,88,67,56,74,75,61,79,68,69,89,70,1
,57,68,56,65,98,92,64,86,64,56,74,78,61,80,68,73,91,67,1
,56,74,83,78,110,108,64,91,64,57,74,82,60,78,62,72,93,62,1
,56,66,49,79,90,99,68,100,64,56,74,83,64,100,55,72,87,70,1
,56,82,73,67,79,104,69,76,59,57,72,79,66,63,68,68,84,64,1
,63,78,70,63,86,99,58,79,66,55,72,79,52,83,82,68,89,71,1
,62,81,70,66,87,97,59,82,72,57,74,78,61,78,72,70,88,70,1
,64,85,63,66,89,98,59,78,77,57,74,75,59,76,62,69,91,71,1
