Time,LC_Z,LC_Y,LC_X,LT_Z,LT_Y,LT_X,RT_Z,RT_Y,RT_X,C_Z,C_Y,C_X,RC_Z,RC_Y,RC_X,S_Z,S_Y,S_X,Class
,63,81,65,64,83,100,71,90,67,57,72,79,63,80,70,63,83,65,1
,64,85,67,64,89,100,67,90,70,55,73,79,62,80,68,64,83,68,1
,65,86,65,69,93,103,67,87,70,56,72,79,63,80,68,64,83,69,1
,64,75,67,69,87,101,66,88,69,56,72,79,63,81,69,63,83,67,1
,60,78,67,65,84,99,67,86,70,56,74,78,62,80,71,64,85,67,1
,60,78,70,65,89,101,66,86,70,56,74,78,63,81,71,65,85,68,1
,60,76,70,67,87,96,66,87,70,56,74,78,64,84,69,65,86,70,1
,59,76,65,67,90,96,66,83,71,59,74,75,62,81,69,65,86,67,1
,61,84,71,70,98,103,63,85,70,56,74,78,60,83,70,65,86,67,1
,66,93,42,72,89,106,65,83,62,59,74,82,62,80,67,64,83,62,1
,66,76,68,67,84,83,63,86,63,58,74,83,64,81,66,64,83,66,1
,61,85,67,67,91,97,66,88,70,56,72,75,63,82,64,63,83,72,1
,65,81,65,68,88,102,66,84,64,55,73,79,61,75,72,63,83,65,1
,63,83,67,68,88,100,63,83,66,55,73,79,59,77,74,64,84,70,1
,63,83,67,67,87,99,63,86,72,57,74,75,57,75,73,64,84,69,1
,64,83,68,66,87,98,65,88,73,59,74,78,58,75,68,65,86,69,1
,64,82,68,65,84,99,67,90,75,59,74,78,58,79,64,67,87,68,1
,63,83,67,64,85,100,70,100,67,59,74,79,59,84,79,66,85,65,1
,64,83,66,66,88,102,74,92,73,59,74,83,63,79,65,64,83,57,1
,66,89,58,67,88,108,66,78,83,56,72,82,60,79,73,63,81,71,1
,65,76,64,67,86,104,60,83,67,56,72,78,60,81,71,62,82,67,1
,60,78,71,64,81,100,64,88,70,56,72,79,62,81,68,63,84,67,1
,60,76,72,63,86,97,66,88,70,56,72,78,61,86,71,63,85,71,1
,60,76,71,66,88,97,67,87,70,55,73,75,66,82,69,65,86,68,1
,60,76,67,68,89,92,66,87,70,56,74,78,61,80,69,66,87,69,1
,61,83,67,70,99,103,64,84,68,59,74,79,60,83,67,66,86,66,1
