Time,LC_Z,LC_Y,LC_X,LT_Z,LT_Y,LT_X,RT_Z,RT_Y,RT_X,C_Z,C_Y,C_X,RC_Z,RC_Y,RC_X,S_Z,S_Y,S_X,class
,65,89,66,68,73,109,52,70,89,55,72,78,47,81,63,65,84,62,1
,71,99,79,57,79,100,56,89,71,55,72,79,62,80,71,66,83,71,1
,72,83,80,59,76,91,63,89,67,55,72,78,62,84,69,65,83,70,1
,62,68,77,59,78,90,64,89,68,55,72,79,61,80,69,64,81,68,1
,55,72,63,67,112,119,65,90,67,55,72,78,62,80,70,63,79,71,1
,54,57,70,76,76,103,63,84,63,55,73,83,60,74,64,64,85,59,1
,51,85,71,63,83,96,61,81,70,59,74,83,56,70,73,66,84,68,1
,63,78,71,64,88,97,60,86,76,55,72,75,57,85,74,66,84,70,1
,60,81,68,67,85,99,62,86,73,55,72,79,64,81,74,66,86,66,1
,63,81,69,65,87,100,63,88,67,57,74,78,57,63,71,67,87,70,1
,63,84,70,67,92,102,64,90,70,57,74,78,55,100,33,66,81,66,1
,63,77,63,70,91,107,62,77,88,55,72,82,69,77,55,64,86,63,1
,60,80,65,67,83,105,59,88,72,56,74,79,61,80,67,66,85,68,1
,65,93,76,64,89,94,63,88,67,57,74,75,63,81,70,66,86,70,1
,68,81,74,67,86,89,65,89,67,57,74,79,62,80,72,66,87,68,1
,60,67,57,68,99,96,64,87,68,57,72,79,60,80,70,67,86,67,1
,54,69,83,75,99,101,63,90,67,55,72,79,62,79,62,65,82,62,1
,57,81,70,70,71,82,66,95,65,57,74,86,62,92,43,63,83,64,1
,62,79,67,59,84,101,65,73,63,55,72,79,67,76,79,65,85,67,1
,62,83,71,64,89,101,55,84,67,55,72,75,58,76,80,66,87,72,1
,64,83,70,67,87,99,62,81,75,55,72,75,58,76,70,67,86,69,1
,63,81,70,66,84,97,59,84,79,57,74,78,59,67,53,66,87,67,1
,62,80,65,64,88,103,67,110,63,57,74,83,53,64,84,67,87,61,1
,62,81,63,67,90,102,75,86,67,59,74,83,53,69,78,67,81,62,1
,65,91,49,71,100,107,62,80,77,56,72,79,56,76,68,63,79,66,1
,67,77,74,71,77,108,60,84,72,55,72,79,61,82,70,63,85,72,1
,63,88,75,60,81,95,63,91,67,55,72,75,64,84,71,66,84,70,1
,65,79,76,62,79,91,64,86,70,55,72,78,63,79,69,66,87,68,1
,59,63,41,64,92,95,62,86,70,55,72,79,61,79,65,67,85,65,1
,51,62,89,72,100,98,63,89,63,57,74,79,61,79,60,66,86,60,1
,55,88,57,74,92,123,66,96,62,57,74,79,61,81,51,66,81,70,1
,64,73,67,68,81,116,65,73,59,55,72,83,62,86,71,63,84,68,1
,60,85,72,63,89,99,55,81,67,55,72,75,65,78,79,64,86,72,1
,65,83,68,68,88,100,57,78,79,55,72,75,59,76,76,66,87,70,1
,63,80,70,66,87,99,56,79,79,57,74,78,54,54,47,67,88,67,1
,63,81,67,67,92,104,66,116,57,57,74,79,45,66,83,69,90,63,1
,64,86,58,70,93,108,79,88,56,57,74,83,49,54,68,67,79,67,1
,67,90,67,65,69,107,63,75,63,56,72,82,47,79,64,63,83,65,1
,69,88,74,56,82,102,59,90,81,56,72,75,59,82,67,65,86,73,1
,65,76,78,62,78,90,65,92,69,55,72,75,63,82,72,65,86,68,1
,60,81,74,61,84,87,64,86,71,57,74,78,61,76,67,65,87,69,1
,58,62,67,71,118,123,63,87,60,57,74,79,59,80,67,67,86,63,1
,52,75,86,81,83,92,64,89,65,57,75,83,63,86,53,66,83,63,1
,56,62,64,63,72,90,65,91,62,59,74,79,62,69,72,65,84,65,1
,54,81,63,60,85,102,63,76,60,55,72,79,56,84,72,65,85,69,1
,63,84,69,64,90,100,57,80,72,55,72,75,64,78,79,66,86,71,1
