@relation EXAMPLE1

@attribute M_LC_Z numeric
@attribute M_LC_Y numeric
@attribute M_LC_X numeric
@attribute M_LT_Z numeric
@attribute M_LT_Y numeric
@attribute M_LT_X numeric
@attribute M_RT_Z numeric
@attribute M_RT_Y numeric
@attribute M_RT_X numeric
@attribute M_C_Z numeric
@attribute M_C_Y numeric
@attribute M_C_X numeric
@attribute M_RC_Z numeric
@attribute M_RC_Y numeric
@attribute M_RC_X numeric
@attribute M_S_Z numeric
@attribute M_S_Y numeric
@attribute M_S_X numeric
@attribute SD_LC_Z numeric
@attribute SD_LC_Y numeric
@attribute SD_LC_X numeric
@attribute SD_LT_Z numeric
@attribute SD_LT_Y numeric
@attribute SD_LT_X numeric
@attribute SD_RT_Z numeric
@attribute SD_RT_Y numeric
@attribute SD_RT_X numeric
@attribute SD_C_Z numeric
@attribute SD_C_Y numeric
@attribute SD_C_X numeric
@attribute SD_RC_Z numeric
@attribute SD_RC_Y numeric
@attribute SD_RC_X numeric
@attribute SD_S_Z numeric
@attribute SD_S_Y numeric
@attribute SD_S_X numeric
@attribute PERSON {P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13}
@attribute LABLE {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17}

@data
79.293436,89.146718,71.223938,79.671815,90.432432,105.756757,80.69112,90.135135,73.718147,66.061776,78.540541,79,78.27027,88.65251,72.196911,79.799228,89.220077,71.891892,19.384516,0.404725,0.416881,17.073892,0.644452,0.56156,15.655471,0.609672,0.693112,7.987203,0.542852,0,16.090847,3.568808,1.426389,19.706883,0.870928,0.356804,P1,14
79.606164,88.167808,71.739726,94.924658,112.565069,94.297945,94.047945,110.044521,87.633562,66.708904,78.996575,79,77.760274,86.931507,73.037671,84.061644,96.438356,72.438356,20.031115,0.373696,0.446521,16.654871,0.495748,0.472094,15.576735,0.300805,0.495843,7.653958,0.05842,0,15.75554,4.906883,1.965965,19.17019,0.496185,0.496185,P1,15
92.700441,108.660793,85.982379,96.118943,113.731278,90.405286,96.198238,111.942731,92.07489,66.85022,79.145374,55.502203,88.502203,106.189427,87.678414,95.506608,109.933921,88.53304,21.568008,0.92179,0.350767,19.061896,1.03806,0.877305,18.475139,0.664571,0.628707,8.76791,0.971403,1.295109,12.06567,1.042816,0.6487,17.266343,0.387064,0.498907,P1,16
65.61809,84.241206,73.035176,84.467337,111.035176,97.095477,80.020101,105.015075,82.954774,58.562814,74.934673,81.336683,62.849246,81.045226,73.743719,67.376884,86.844221,71.959799,1.229812,2.040325,2.998118,1.568435,1.816665,2.231778,1.271883,2.19748,2.542694,2.144251,1.410924,2.178518,2.335521,4.581256,3.368439,1.014304,1.644499,1.861645,P1,17
67.505376,86.486559,71.137097,73.483871,95.97043,108.736559,70.604839,93.825269,73.397849,60.134409,75.793011,81.268817,64.247312,82.706989,73.129032,71.096774,91.44086,72.564516,4.547535,8.597782,11.209636,5.962901,10.406351,9.77106,5.307965,9.554547,9.731768,1.71276,1.765151,3.42238,6.134086,10.93272,10.623544,2.078122,3.727873,4.206834,P2,1
61.847458,78.737288,74.644068,74.961864,98.084746,107.724576,69.016949,91.961864,71.322034,57.076271,72.864407,83.737288,58.644068,74.792373,77.114407,69.347458,87.025424,71.95339,8.065544,15.435721,18.750605,8.823759,16.856612,19.924338,9.116462,16.759598,21.59464,7.126766,11.615241,20.224556,9.700188,17.626399,18.929834,4.399301,7.10629,24.848566,P2,2
58.992,74.330667,70.962667,75.032,98.4,113.405333,70.578667,94.216,69.752,59.397333,74.397333,85.664,57.28,73.365333,75.541333,72.896,94.616,76.296,16.663651,29.253695,31.819637,14.395519,27.583763,34.076322,15.044062,28.439386,35.948034,9.307172,17.435274,27.736843,14.575377,25.540397,27.70305,7.596305,14.438717,29.408305,P2,3
77.594203,87.42029,71.336957,80.934783,92.971014,106.905797,80.666667,89.934783,72.619565,63.601449,75.188406,80.463768,75.242754,86.601449,72.884058,82,93.155797,71.847826,20.687509,1.49546,0.502397,17.43298,2.752975,1.034812,15.074373,2.837907,1.037441,8.566906,2.85533,2.018607,17.156435,7.84454,3.560191,19.489685,2.059179,1.027888,P2,7
83.37013,95.827922,74.574675,84.496753,98.113636,111.090909,85.146104,95.727273,76.483766,53.224026,58.672078,76.762987,81.766234,95.636364,76.577922,75.324675,81.941558,84.298701,21.446839,4.137993,1.337863,18.257804,5.080847,2.478122,16.570826,4.815118,2.298305,14.090333,16.233671,6.590947,17.389462,4.891443,1.921453,21.09945,7.711298,6.389551,P2,5
79.960114,93.472934,72.957265,81.430199,94.897436,107.441595,80.817664,89.407407,73.888889,49.259259,57.595442,77.339031,79.837607,93.245014,74.709402,71.621083,75.535613,85.276353,20.85682,2.113242,0.915767,17.901443,2.662554,1.386291,15.151874,3.64787,1.543912,10.052484,3.633711,2.870746,16.014927,5.478507,2.467082,20.046144,2.381855,1.513655,P2,6
